transaction_id,customer_id,product_id,transaction_date,amount
T001,C001,P01,2022-01-20,150.00
T002,C002,P02,2022-02-25,200.50
T003,C001,P03,2022-03-01,75.25
T004,C003,P01,2022-03-15,150.00
T005,C004,P04,2022-04-10,500.00
T006,C002,P01,2022-05-10,155.00
T007,C005,P05,2022-05-25,300.00
T008,C001,P02,2022-06-15,210.00
T009,C006,P03,2022-07-05,80.00
T010,C007,P01,2023-01-15,160.00
T011,C002,P04,2023-02-01,550.00
T012,C008,P05,2023-02-20,320.00
T013,C003,P02,2023-03-30,220.00
T014,C009,P01,2023-04-01,6500.00
T015,C010,P03,2023-04-15,90.50
T016,C001,P01,2023-05-01,150.00
T017,C007,P02,2023-06-10,230.00
T018,C002,P03,2023-07-11,85.00
T019,C009,P04,2023-08-15,4999.00
T020,C004,P01,2023-09-01,150.00
